Cust_id, branded_link, branded_pref, api
348498096,100.0,0.0,0.0
488361162,0.0,0.0,100.0
488827068,0.0,0.0,100.0
547666924,100.0,0.0,0.0
568813846,0.0,0.0,100.0
553391837,N/A,N/A,N/A
609485028,6.33,93.67,0.0
558553305,8.7,91.3,0.0
445964626,N/A,N/A,N/A
228184018,100.0,0.0,0.0
318212265,1.0,0.0,99.0
238584652,100.0,0.0,0.0
600848318,0.0,0.0,100.0
27555919,N/A,N/A,N/A
473887956,0.0,0.0,100.0
214487257,0.0,0.0,100.0
624863523,0.0,0.0,100.0
600105283,0.0,0.0,100.0
571068751,100.0,0.0,0.0
565601367,0.0,0.0,100.0
539464823,100.0,0.0,0.0
512130966,0.0,100.0,0.0
619985978,100.0,0.0,0.0
571086341,N/A,N/A,N/A
568356943,100.0,0.0,0.0
405520277,0.0,0.0,100.0
154850071,50.0,0.0,50.0
563986649,100.0,0.0,0.0
460786173,N/A,N/A,N/A
628938235,0.0,100.0,0.0
605092284,9.0,0.0,91.0
436409525,3.0,97.0,0.0
593096642,0.0,0.0,100.0
611446238,100.0,0.0,0.0
147977166,5.0,0.0,95.0
540832883,93.75,0.0,6.25
511346480,100.0,0.0,0.0
538644297,100.0,0.0,0.0
297590522,0.0,100.0,0.0
217489711,100.0,0.0,0.0
540398948,0.0,0.0,100.0
570937911,0.0,0.0,100.0
313804261,0.0,0.0,100.0
195229887,0.0,0.0,100.0
535147819,0.0,0.0,100.0
547398907,10.81,0.0,89.19
133389354,13.0,0.0,87.0
488362448,0.0,0.0,100.0
533156872,7.0,0.0,93.0
568174750,N/A,N/A,N/A
440260098,0.0,0.0,100.0
532690424,N/A,N/A,N/A
3253841,35.09,0.0,64.91
578402258,100.0,0.0,0.0
324746926,0.0,0.0,100.0
537974401,0.0,0.0,100.0
375520482,0.0,100.0,0.0
574330827,0.0,0.0,100.0
487208472,2.0,0.0,98.0
211159760,N/A,N/A,N/A
77184883,69.81,15.09,15.09
605900161,0.0,0.0,100.0
444129619,6.12,4.08,89.8
488370026,0.0,0.0,100.0
246885253,0.0,0.0,100.0
156912170,0.0,0.0,100.0
132542714,20.0,0.0,80.0
127765715,90.91,0.0,9.09
354646116,100.0,0.0,0.0
468377264,N/A,N/A,N/A
538762874,1.0,0.0,99.0
220939581,1.0,6.0,93.0
609528930,0.0,0.0,100.0
525751013,5.0,0.0,95.0
213625068,5.0,0.0,95.0
488419129,0.0,0.0,100.0
526307583,N/A,N/A,N/A
474621326,100.0,0.0,0.0
540832907,0.0,0.0,100.0
491126263,100.0,0.0,0.0
576257692,0.0,0.0,100.0
194134065,19.28,0.0,80.72
557648245,16.67,0.0,83.33
541321282,0.0,0.0,100.0
202432883,50.0,0.0,50.0
567189802,0.0,0.0,100.0
614943688,N/A,N/A,N/A
576103689,58.62,3.45,37.93
420679036,0.0,0.0,100.0
530979005,0.0,1.08,98.92
537987232,0.0,66.0,34.0
502864513,N/A,N/A,N/A
588724913,100.0,0.0,0.0
539233653,0.0,100.0,0.0
445058120,100.0,0.0,0.0
536683190,0.0,0.0,100.0
549140953,0.0,0.0,100.0
616715253,12.0,0.0,88.0
355866979,100.0,0.0,0.0
486814494,17.65,0.0,82.35
475921279,18.82,0.0,81.18
54971963,0.0,1.03,98.97
255107189,N/A,N/A,N/A
578234780,1.0,0.0,99.0
632170300,0.0,0.0,100.0
511001876,0.0,0.0,100.0
515113361,100.0,0.0,0.0
600206785,0.0,0.0,100.0
613031774,0.0,3.41,96.59
302579121,0.0,0.0,100.0
488373038,0.0,0.0,100.0
567574444,89.0,1.0,10.0
539789307,97.56,0.0,2.44
532929830,3.0,0.0,97.0
474763263,75.0,25.0,0.0
574213935,N/A,N/A,N/A
11189212,100.0,0.0,0.0
600281011,100.0,0.0,0.0
480098605,100.0,0.0,0.0
422381300,N/A,N/A,N/A
488828672,0.0,0.0,100.0
523927385,1.0,0.0,99.0
271205216,2.0,15.0,83.0
296422998,100.0,0.0,0.0
263482305,N/A,N/A,N/A
347680299,100.0,0.0,0.0
585059648,N/A,N/A,N/A
549626066,100.0,0.0,0.0
555360729,N/A,N/A,N/A
541049711,0.0,0.0,100.0
614732071,100.0,0.0,0.0
163056628,0.0,5.0,95.0
330152571,1.0,0.0,99.0
99378952,6.67,0.0,93.33
538649281,0.0,68.0,32.0
519718626,100.0,0.0,0.0
555477902,10.29,89.71,0.0
215122105,N/A,N/A,N/A
523000917,100.0,0.0,0.0
607385667,0.0,0.0,100.0
344025588,0.0,0.0,100.0
344025588,0.0,0.0,100.0
173245801,0.0,0.0,100.0
627440894,0.0,0.0,100.0
592656293,0.0,0.0,100.0
539516864,0.0,100.0,0.0
275631691,0.0,0.0,100.0
522928870,33.33,66.67,0.0
549714933,1.0,0.0,99.0
539207872,0.0,0.0,100.0
537009138,0.0,0.0,100.0
511486136,N/A,N/A,N/A
522147874,0.0,0.0,100.0
592705406,0.0,0.0,100.0
110433222,3.0,0.0,97.0
578321742,0.0,4.0,96.0
102694676,12.5,1.56,85.94
142301850,90.91,0.0,9.09
514576771,N/A,N/A,N/A
586504947,0.0,0.0,100.0
610232512,25.0,0.0,75.0
997019,N/A,N/A,N/A
447723803,50.0,50.0,0.0
95527565,100.0,0.0,0.0
40416839,80.0,0.0,20.0
470781992,0.0,0.0,100.0
541221694,100.0,0.0,0.0
537921854,2.0,0.0,98.0
594217356,0.0,0.0,100.0
567587775,0.0,0.0,100.0
592251226,N/A,N/A,N/A
570197466,100.0,0.0,0.0
604426306,100.0,0.0,0.0
613044256,66.67,0.0,33.33
379275108,100.0,0.0,0.0
522979253,100.0,0.0,0.0
514239936,0.0,100.0,0.0
613543886,0.0,0.0,100.0
618612814,0.0,0.0,100.0
172291895,1.0,0.0,99.0
522480730,7.0,0.0,93.0
575676385,0.0,0.0,100.0
76031177,0.0,10.0,90.0
567515156,0.0,0.0,100.0
177610742,0.0,0.0,100.0
610614970,25.58,0.0,74.42
167455374,0.0,0.0,100.0
522907366,20.0,0.0,80.0
625425873,4.0,36.0,60.0
172689106,13.0,0.0,87.0
213187943,4.0,0.0,96.0
49196978,N/A,N/A,N/A
628929782,0.0,100.0,0.0
582076812,N/A,N/A,N/A
545610010,0.0,100.0,0.0
148434277,0.0,0.0,100.0
589452161,100.0,0.0,0.0
520504561,100.0,0.0,0.0
583213078,100.0,0.0,0.0
319062483,14.29,0.0,85.71
537324481,0.0,0.0,100.0
305114550,0.0,100.0,0.0
614378834,100.0,0.0,0.0
322521691,0.0,42.0,58.0
609415648,87.5,0.0,12.5
522599323,100.0,0.0,0.0
614795338,N/A,N/A,N/A
